"genus_scientific","genus_common"
"Jacaranda","Jacaranda"
"Kigelia","Sausage"
"Markhamia","Markhamia"
"Paulownia","Paulownia"
"Radermachera","Radermachera"
"Spathodea","Spathodea"
"Tabebuia","Trumpet"
"Tecoma","Tecoma"
"Adansonia","Baobab"
"Bombax","Bombax"
"Ceiba","Ceiba"
"Durio","Durians"
"Ochroma","Ochroma"
"Bourreria","Strongbarks"
"Cordia","Cordia"
"Bursera","Bursera"
"Dacryodes","Dacryodes"
"Canella","Wild cinnamon"
"Celtis","Hackberries and sugarberries"
"Trema","Tremas"
"Capparis","Caper bushes"
"Sambucus","Elders"
"Viburnum","Viburnum and blackhaws"
"Carica","Papaya"
"Casuarina","Beefwoods"
"Gyminda","False boxwoods"
"Maytenus","Maytens"
"Schaefferia","Schaefferia"
"Cercidiphyllum","Cercidiphyllum"
"Chrysobalanus","Chrysobalanus"
"Maranthes","Maranthes"
"Calophyllum","Calophyllum"
"Clusia","Clusia"
"Garcinia","Garcinia"
"Conocarpus","Buttonwoods"
"Laguncularia","Laguncularia"
"Terminalia","Terminalia"
"Cornus","Dogwoods"
"Cliftonia","Cliftonia"
"Cyrilla","Cyrilla"
"Davidsonia","Davidson's plum"
"Diospyros","Ebony and persimmons"
"Elaeagnus","Elaeagnus"
"Hippophae","Buckthorns"
"Shepherdia","Buffalo berries"
"Arbutus","Arbutus"
"Clethra","Pepperbush"
"Elliottia","Elliottia"
"Lyonia","Lyonia"
"Oxydendrum","Oxydendrum"
"Vaccinium","Blueberries, cranberries, and sparkleberries"
"Aleurites","Aleurites"
"Drypetes","Drypetes"
"Euphorbia","Spurge"
"Gymnanthes","Gymnanthes"
"Hevea","Rubber"
"Hippomane","Hippomane"
"Manihot","Cassava"
"Sapium","Tallow"
"Savia","Maidenbushes"
"Acacia","Acacias and wattles"
"Albizia","Silk"
"Bauhinia","Orchid"
"Caesalpinia","Bird-of-paradise"
"Caragana","Asian pea"
"Cassia","Cassias"
"Centrolobium",NA
"Ceratonia","Ceratonia"
"Cercis","Redbuds"
"Cladrastis","Yellowwoods"
"Dalbergia","True rosewoods"
"Delonix","Poincianas"
"Dermatophyllum","Mescalbeans"
"Dialium",NA
"Enterolobium",NA
"Erythrina","Coral"
"Gleditsia","False locust"
"Guibourtia",NA
"Gymnocladus","Bymnocladus"
"Hymenaea",NA
"Inga","Sugarpod"
"Laburnum","Laburnum"
"Leucaena","Leucaena"
"Lysiloma","Lysiloma"
"Machaerium","Machaerium"
"Millettia","Millettia"
"Mimosa","Mimosas"
"Myroxylon",NA
"Parkinsonia","Parkinsonia"
"Peltogyne",NA
"Piscidia","Fishpoison"
"Pithecellobium","Blackbeads"
"Platymiscium",NA
"Prosopis","Mesquites and kiawes"
"Pterocarpus","Padauks"
"Robinia","Locusts"
"Schizolobium",NA
"Senna","Sennas"
"Sophora","Sophoras"
"Styphnolobium","Necklacepods"
"Tamarindus","Tamarinds"
"Tipuana","Tipuana"
"Vatairea",NA
"Castanea","Chestnuts and chinkapins"
"Castanopsis","Castanopsis"
"Chrysolepis","Chrysolepis"
"Fagus","Beeches"
"Lithocarpus","Stonefruit oaks"
"Quercus","Oaks"
"Ribes","Currants and gooseberries"
"Liquidambar","Liquidambar"
"Loropetalum","Fringe flowers"
"Aesculus","Buckeyes and horse chestnuts"
"Illicium","Anise-"
"Carya","Hickories and pecans"
"Juglans","Walnuts"
"Cinnamomum","Cinnamon and camphor"
"Laurus","True laurels"
"Licaria","Licaria"
"Nectandra","Nectandra"
"Persea","Bay"
"Sassafras","Sassafras"
"Umbellularia","Umbellularia"
"Bertholletia","Bertholletia"
"Couroupita","Couroupita"
"Lagerstroemia","Lagerstroemia"
"Liriodendron","Tulip"
"Magnolia","Magnolias"
"Byrsonima","Locustberries"
"Malpighia","Malpighia"
"Hibiscus","Hibiscus"
"Lagunaria","Lagunaria"
"Thespesia","Thespesia"
"Tetrazygia","Tetrazygia"
"Cedrela","Cedrela"
"Melia","Berry mahoganies"
"Swietenia","Baywoods"
"Antiaris","Antiaris"
"Artocarpus","Artocarpus"
"Brosimum","Brosimum"
"Broussonetia","Broussonetia"
"Cecropia","Cecropia"
"Ficus","Fig"
"Maclura","Cockspur thorns"
"Morus","Mulberries"
"Moringa","Moringa"
"Muntingia","Muntingia"
"Myoporum","Myoporum"
"Myrica","Bayberries"
"Ardisia","Ardisia"
"Myrsine","Myrsine"
"Agonis","Peppermint myrtles"
"Callistemon","Callistemon"
"Calyptranthes","Mountainbays and lidflowers"
"Corymbia","Corymbia"
"Eucalyptus","Eucalyptus"
"Eugenia","Eugenia"
"Feijoa","Feijoa"
"Leptospermum","Leptospermum"
"Lophostemon","Lophostemon"
"Melaleuca","Melaleuca"
"Metrosideros","Ratas and pohutukawa"
"Myrcianthes","Myrcianthes"
"Myrtus","Myrtles"
"Psidium","Guavas"
"Rhodomyrtus","Rose myrtles"
"Syzygium","Lillypillies"
"Tristaniopsis","Water gum"
"Nothofagus","Southern beeches"
"Guapira","Blollies"
"Pisonia","Pisonia or mapou"
"Nyssa","Tupelo"
"Schoepfia","Schoepfia"
"Chionanthus","Fringe"
"Forestiera","False privets"
"Fraxinus","Ashes"
"Ligustrum","Privets"
"Noronhia","Noronhia"
"Olea","Olives"
"Osmanthus","Osmanthus"
"Syringa","Lilacs"
"Averrhoa","Averrhoa"
"Pandanus","Pandanus"
"Bocconia",NA
"Dendromecon",NA
"Bischofia","Bischofia"
"Phyllanthus","Gooseberry"
"Pittosporum","Pittosporums"
"Platanus","Sycamores"
"Dendrocalamus","Giant clumping bamboos"
"Coccoloba","Coccoloba"
"Alloxylon","Alloxylon"
"Banksia","Banksia"
"Dryandra","Dryandras"
"Embothrium","Firebushes"
"Grevillea","Grevillea"
"Hakea","Hakea proteas"
"Leucadendron","Leucadendrons"
"Leucospermum","Leucospermum"
"Macadamia","Macadamia nut"
"Mimetes","Pagoda bushes"
"Persoonia","Geebungs"
"Stenocarpus","Stenocarpus"
"Telopea","Telopea"
"Punica","Punica"
"Colubrina","Nakedwoods"
"Krugiodendron","Krugiodendrons"
"Reynosia","Reynosia"
"Rhamnus","Buckthorns"
"Ziziphus","Ziziphus"
"Rhizophora","True mangroves"
"Amelanchier","Serviceberries (juneberries or shadbushes)"
"Aronia","Chokeberries"
"Chaenomeles","Flowering quinces"
"Cotoneaster","Cotoneasters"
"Crataegus","Hawthorns"
"Cydonia","Mediterranean quince"
"Eriobotrya","Loquats"
"Lyonothamnus","Lyonothamnus"
"Malus","Apples and crabapples"
"Mespilus","Medlars"
"Photinia","Photinias"
"Prunus","Cherries, plums, peaches, apricots, almonds and cherry laurels"
"Pseudocydonia","Oriental quinces"
"Pyracantha","Firethorns"
"Pyrus","Pears"
"Rhaphiolepis","Rhaphiolepis"
"Sorbus","Mountain ashes and rowans"
"Blepharidium","Blepharidium"
"Casasia","Casasia"
"Cephalanthus","Cephalanthus"
"Chione",NA
"Cinchona","Cinchona"
"Coffea","Coffer"
"Exostema","Exostema"
"Guettarda","Velvetseeds"
"Hamelia","Hamelia bushes"
"Morinda","Morindas or false mulberry"
"Pinckneya","Pinckneya"
"Simira",NA
"Calodendrum","Calodendrum"
"Citrus","Oranges, lemons, limes, grapefruits, and kumquats"
"Poncirus","Astringent oranges"
"Ptelea","Ptelea"
"Zanthoxylum","Prickly ashes"
"Populus","Poplars, cottonwoods, and aspens"
"Salix","Willows"
"Cupania","Toadwoods"
"Cupaniopsis","Cupaniopsis"
"Dodonaea","Dodonaea"
"Exothea","Exothea"
"Koelreuteria","Koelreuteria"
"Litchi","Litchi fruit"
"Sapindus","Soapberries"
"Bumelia","Bumelias"
"Chrysophyllum","Chrysophyllum fruit"
"Dipholis","Bustics"
"Manilkara","Manilkara"
"Mastichodendron","Mastichodendron"
"Ailanthus","Ailanthus"
"Alvaradoa","Alvaradoas"
"Picramnia","Picramnia"
"Simarouba","Simarouba"
"Nicotiana","Tobacco"
"Solanum","Nightshades and potatoes"
"Staphylea","Bladdernuts"
"Brachychiton","Bottle"
"Cola","Cola"
"Dombeya","Dombeya"
"Firmiana","Parasol"
"Theobroma","Cacao"
"Ravenala","Ravenala"
"Strelitzia","Strelitzia"
"Halesia","Silverbells"
"Styrax","Storaxes and snowbells"
"Suriana","Suriana"
"Symplocos","Sweetleaves"
"Tamarix","Tamarisk"
"Camellia","Camellias"
"Jacquinia","Jacquinia"
"Daphne","Daphne laurels"
"Tilia","Basswoods"
"Planera","Planera"
"Ulmus","Elms"
"Zelkova","Zelkovas"
"Avicennia","Avicennia"
"Citharexylum","Fiddlewoods"
"Duranta","Durantas"
"Vitex","Chaste"
